YEAR;MO;DY;HR;ALLSKY_SFC_SW_DWN;T2M;RH2M;WS10M;WS50M;Wind_80m;Air_Density;Power_Output_kW;Solar_Output_kW;Total_Power_Output_kW;H2_Production_kg;System_Efficiency
2024;4;14;5;0;18,8;91,83;1,34;1,65;1,762222499;1,209055489;0;0;0;0;71,88%
2024;4;14;6;9,43;18,88;83,84;2,1;2,61;2,78751559;1,208724275;0;34,46665;34,46665;0,628867649;71,89%
2024;4;14;7;123,97;19,43;72,8;2,73;3,34;3,567165544;1,206452081;13,24322959;453,11035;466,3535796;8,515450654;71,94%
2024;4;14;8;322,35;20,08;63,52;3,29;3,69;3,940970316;1,203777751;28,23769677;1178,18925;1206,426947;22,04883035;72,01%
2024;4;14;9;553,67;20,84;60,44;3,11;3,9;4,16525318;1,200665839;38,8125049;2023,66385;2062,476355;37,73389481;72,08%
2024;4;14;10;758,85;22;56,54;3,21;4,35;4,645859316;1,195946976;64,89631887;2773,59675;2838,493069;52,01502527;72,20%
2024;4;14;11;901,1;23,45;49,65;3,38;4,59;4,902182588;1,190100303;80,23815647;3293,5205;3373,758656;61,94786041;72,35%
2024;4;14;12;997,75;24,56;45,33;3,25;4,43;4,731300407;1,185663061;69,41271143;3646,77625;3716,188961;68,34014908;72,46%
2024;4;14;13;968,53;25,48;41,9;3,1;4,17;4,453616861;1,182010347;53,237209;3539,97715;3593,214359;66,16256734;72,55%
2024;4;14;14;882,97;25,69;41,22;3,06;4;4,272054543;1,181179728;43,55055139;3227,25535;3270,805901;60,24342981;72,57%
2024;4;14;15;702,1;25,41;42,85;3,18;4,09;4,368175771;1,18228748;48,62448405;2566,1755;2614,799984;48,14218417;72,54%
2024;4;14;16;498,77;24,98;45,33;3,33;4,31;4,60313877;1,183992721;61,76248782;1823,00435;1884,766838;34,68066655;72,50%
2024;4;14;17;260,02;24,23;50,24;3,62;4,89;5,222586679;1,186978781;101,0764753;950,3731;1051,449575;19,32719101;72,42%
2024;4;14;18;76,5;23,38;56,75;3,92;5,71;6,098357861;1,190381243;166,8408962;279,6075;446,4483962;8,196747229;72,34%
2024;4;14;19;0;22,67;62,07;3,97;6,63;7,080930406;1,193238287;252,804637;0;252,804637;4,636911853;72,27%
2024;4;14;20;0;22,25;66,47;4,33;7,48;7,988741996;1,194934834;342,1762485;0;342,1762485;6,272507499;72,23%
2024;4;14;21;0;21,71;71,91;4,56;7,81;8,341186496;1,197123211;379,7646511;0;379,7646511;6,956343817;72,17%
2024;4;14;22;0;21,05;78,07;4,56;7,46;7,967381723;1,199808804;341,367695;0;341,367695;6,247288743;72,11%
2024;4;14;23;0;20,42;84,38;4,34;6,62;7,070250269;1,202383588;253,7428323;0;253,7428323;4,639629727;72,04%
2024;4;15;0;0;19,88;90,01;4,03;5,69;6,076997588;1,204599358;167,0907599;0;167,0907599;3,0529263;71,99%
2024;4;15;1;0;19,46;93,87;3,69;4,86;5,19054627;1,206328389;100,5109246;0;100,5109246;1,835370299;71,95%
2024;4;15;2;0;19,23;95,27;3,19;4,02;4,293414816;1,207277345;45,63865857;0;45,63865857;0,83311402;71,92%
2024;4;15;3;0;19,12;94,98;2,53;3,12;3,332202544;1,207731721;5,94283916;0;5,94283916;0,108467373;71,91%
2024;4;15;4;0;19,12;93,6;1,74;2,09;2,232148499;1,207731721;0;0;0;0;71,91%
2024;4;15;5;0;19,15;91,85;0,97;1,09;1,164134863;1,207607766;0;0;0;0;71,92%
2024;4;15;6;11,25;19,04;91,86;0,46;0,5;0,534006818;1,208062391;0;41,11875;41,11875;0,750406751;71,90%
2024;4;15;7;158,5;19,09;92,2;0,56;0,6;0,640808182;1,207855701;0;579,3175;579,3175;10,57313251;71,91%
2024;4;15;8;389,85;19,38;92,74;0,96;1,03;1,100054045;1,206658291;0;1424,90175;1424,90175;26,01639139;71,94%
2024;4;15;9;628,17;20,14;91,64;1,52;1,75;1,869023863;1,203531488;0;2295,96135;2295,96135;41,96481235;72,01%
2024;4;15;10;827,08;21,28;83,92;1,97;2,49;2,659353953;1,198871548;0;3022,9774;3022,9774;55,340435;72,13%
2024;4;15;11;963,95;22,1;76,66;2,37;3,05;3,257441589;1,195541914;4,013302919;3523,23725;3527,250553;64,64537117;72,21%
2024;4;15;12;1018,2;22,43;75,53;2,87;3,8;4,058451816;1,194207152;33,41991795;3721,521;3754,940918;68,84979613;72,24%
2024;4;15;13;1007,5;22,58;75,05;3,52;4,82;5,147825725;1,193601427;96,55548767;3682,4125;3778,967988;69,30473829;72,26%
2024;4;15;14;920,38;22,62;74,31;4,17;5,86;6,258559906;1,193440004;180,4090121;3363,9889;3544,397912;65,00641673;72,26%
2024;4;15;15;764,67;22,51;73,96;4,71;6,67;7,123650951;1,193884022;256,9236354;2794,86885;3051,792485;55,96321291;72,25%
2024;4;15;16;553,28;22,28;74,09;5,11;7,2;7,689698178;1,194813492;311,8433811;2022,2384;2334,081781;42,78833982;72,23%
2024;4;15;17;311,5;21,92;75,44;5,37;7,43;7,935341314;1,196271224;337,073428;1138,5325;1475,605928;27,03729522;72,19%
2024;4;15;18;95,1;21,26;80,91;5,39;7,21;7,700378314;1,198952991;313,9933491;347,5905;661,5838491;12,11101439;72,13%
2024;4;15;19;0;20,67;84,59;5,03;6,89;7,358613951;1,201360527;280,9409444;0;280,9409444;5,138723614;72,07%
2024;4;15;20;0;20,24;87,44;4,84;6,62;7,070250269;1,203121272;253,8985081;0;253,8985081;4,64131628;72,02%
2024;4;15;21;0;19,82;91,16;4,76;6,32;6,749846178;1,204846059;224,8385697;0;224,8385697;4,107697951;71,98%
2024;4;15;22;0;19,45;95,48;4,7;6;6,408081815;1,206369617;195,058321;0;195,058321;3,561794646;71,95%
2024;4;15;23;0;19,36;97,71;4,55;5,81;6,205159224;1,206740795;177,9538881;0;177,9538881;3,249058602;71,94%
2024;4;16;0;0;19,33;98,64;4,53;5,85;6,24787977;1,206864572;181,5421722;0;181,5421722;3,31443479;71,93%
2024;4;16;1;0;19,24;99,14;4,65;5,96;6,36536127;1,207236055;191,5397026;0;191,5397026;3,49652324;71,92%
2024;4;16;2;0;19,13;99,12;4,75;6;6,408081815;1,2076904;195,2718788;0;195,2718788;3,564108279;71,91%
2024;4;16;3;0;19,04;98,48;4,81;6,01;6,418761951;1,208062391;196,2509329;0;196,2509329;3,581529716;71,90%
2024;4;16;4;0;18,91;97,57;4,9;6,02;6,429442088;1,208600116;197,2590398;0;197,2590398;3,599276556;71,89%
2024;4;16;5;0;18,77;97,18;4,85;5,84;6,237199633;1,209179741;180,993992;0;180,993992;3,301854102;71,88%
2024;4;16;6;13,25;18,69;97,11;4,64;5,51;5,884755133;1,209511205;152,2973691;48,42875;200,7261191;3,661417628;71,87%
2024;4;16;7;183,15;19,2;93,32;4,53;5,24;5,596391452;1,207401231;129,8153185;669,41325;799,2285685;14,58896412;71,92%
2024;4;16;8;428,15;19,64;90,06;4,57;5,01;5,350748316;1,205586769;111,6674879;1564,88825;1676,555738;30,622248;71,96%
2024;4;16;9;663,17;20,26;85,21;4,34;5,01;5,350748316;1,203039262;111,4315251;2423,88635;2535,317875;46,34741251;72,03%
2024;4;16;10;853,2;20,92;80,4;4,1;5,19;5,54299077;1,200339205;125,095083;3118,446;3243,541083;59,34856948;72,09%
2024;4;16;11;981,12;21,37;78,14;4,08;5,43;5,799314043;1,198505195;144,2568444;3585,9936;3730,250444;68,29671988;72,14%
2024;4;16;12;1040,2;21,83;74,83;4,19;5,8;6,194479088;1,196636213;175,5825243;3801,931;3977,513524;72,87026871;72,18%
2024;4;16;13;1033,38;22,22;71,23;4,49;6,36;6,792566724;1,195056201;226,8335281;3777,0039;4003,837428;73,39216922;72,22%
2024;4;16;14;949,45;22,39;69,62;4,91;7,04;7,518815996;1,194368783;294,8454992;3470,23975;3765,085249;69,031978;72,24%
2024;4;16;15;797,47;22,29;70,02;5,32;7,59;8,106223496;1,19477305;354,286187;2914,75285;3269,039037;59,92878696;72,23%
2024;4;16;16;590,55;22,03;71,78;5,59;7,86;8,394587178;1,195825429;385,0562533;2158,46025;2543,516503;46,61155383;72,20%
2024;4;16;17;348,7;21,62;75,33;5,82;7,93;8,469348132;1,19748872;393,635135;1274,4985;1668,133635;30,55224857;72,16%
2024;4;16;18;115,03;21,01;81,37;5,93;7,74;8,266425541;1,199971954;372,7040321;420,43465;793,1386821;14,51423658;72,10%
2024;4;16;19;0;20,39;88,46;5,58;7,36;7,86058036;1,202506473;331,1606201;0;331,1606201;6,05494414;72,04%
2024;4;16;20;0;20,02;92,47;5,31;7,05;7,529496133;1,204024116;298,2834092;0;298,2834092;5,451015744;72,00%
2024;4;16;21;0;19,75;94,71;5,22;6,86;7,326573542;1,205134005;278,7215503;0;278,7215503;5,091620199;71,98%
2024;4;16;22;0;19,55;95,76;5,19;6,71;7,166371496;1,205957465;263,5651896;0;263,5651896;4,813409445;71,96%
2024;4;16;23;0;19,4;95,99;5,18;6,61;7,059570133;1,206575799;253,6259904;0;253,6259904;4,630927348;71,94%
2024;4;17;0;0;19,23;96,31;5,19;6,54;6,984809178;1,207277345;246,7956027;0;246,7956027;4,505147241;71,92%
2024;4;17;1;0;19,09;96,44;5,23;6,51;6,952768769;1,207855701;243,9418093;0;243,9418093;4,452185676;71,91%
2024;4;17;2;0;18,97;96,39;5,25;6,47;6,910048224;1,208351876;240,0964087;0;240,0964087;4,381271954;71,90%
2024;4;17;3;0;18,86;96,31;5,13;6,23;6,653724951;1,208807061;216,9600827;0;216,9600827;3,958475255;71,89%
2024;4;17;4;0;18,74;96,22;4,96;5,96;6,36536127;1,209304019;191,8678051;0;191,8678051;3,500077823;71,87%
2024;4;17;5;0;18,63;95,94;4,88;5,82;6,215839361;1,209759922;179,2915349;0;179,2915349;3,270159283;71,86%
2024;4;17;6;13,7;18,55;95,7;4,83;5,72;6,109037997;1,210091704;170,4811636;50,0735;220,5546636;4,022323694;71,86%
2024;4;17;7;175,62;19,18;91,69;4,79;5,52;5,89543527;1,207483837;152,887222;641,8911;794,778322;14,50732674;71,92%
2024;4;17;8;400,58;19,74;87,14;4,75;5,28;5,639111997;1,205175151;132,7871265;1464,1199;1596,907026;29,17151937;71,97%
2024;4;17;9;621,33;20,27;83,07;4,24;4,9;5,233266816;1,202998262;103,1798737;2270,96115;2374,141024;43,40158769;72,03%
2024;4;17;10;829,53;20,68;81,67;3,67;4,56;4,870142179;1,201319641;78,95680906;3031,93215;3110,888959;56,90242272;72,07%
